,Info_source,queried_configs_x_activation,queried_configs_x_alpha,queried_configs_x_learning_rate,queried_configs_x_n_layers,queried_configs_x_n_neurons_layer1,queried_configs_x_solver,queried_configs_x_n_neurons_layer2,queried_configs_x_n_neurons_layer3,queried_configs_x_n_neurons_layer4,queried_configs_y_mce,queried_configs_y_DSP,c_s,data_split_seed
120,AGPs,tanh,1.6486263718507556e-05,adaptive,2,31,adam,3.0,,,0.1546277095782989,0.18589771548884013,,
121,AGPs,tanh,0.0007653614498866723,adaptive,2,29,adam,18.0,,,0.14928153847144893,0.18330127003764346,,
122,AGPs,tanh,0.0002519027999448808,adaptive,3,32,adam,9.0,6.0,,0.1520582252007155,0.1790157331119813,,
123,AGPs,tanh,0.007458101605543379,adaptive,2,31,adam,10.0,,,0.1525140549141202,0.17943209034125562,,
124,AGPs,tanh,7.479747291390202e-05,adaptive,2,32,adam,18.0,,,0.1496544408632859,0.1824706242692119,,
125,AGPs,tanh,9.057167486239089e-05,adaptive,2,3,sgd,25.0,,,0.158191772115205,0.20565777038642272,,
126,AGPs,tanh,0.0003800203617019269,adaptive,2,27,adam,26.0,,,0.14982023538303962,0.18138481798562794,,
127,AGPs,tanh,0.00021816734942679806,adaptive,2,29,adam,16.0,,,0.15127059172143978,0.1882595839585038,,
128,AGPs,tanh,0.00022424651653643764,adaptive,2,32,adam,4.0,,,0.1537572260789463,0.1828080937881403,,
129,AGPs,tanh,0.18520176854426607,adaptive,1,32,adam,,,,0.15479354704332532,0.1758712414810108,,
130,AGPs,tanh,0.15446391167499307,adaptive,3,25,adam,2.0,4.0,,0.1518094432360122,0.18454190157427547,,
131,AGPs,relu,0.4946371334631111,constant,1,19,adam,,,,0.15205813072111557,0.18441708603485393,,
132,AGPs,tanh,0.09824380761488846,adaptive,2,32,adam,5.0,,,0.15172677358608058,0.18369594982899126,,
133,AGPs,tanh,0.4347278200015247,adaptive,1,3,sgd,,,,0.1607612049584612,0.19862942601878372,,
134,AGPs,tanh,0.41149730314630584,adaptive,4,13,adam,3.0,27.0,2.0,0.15413038614241942,0.18991020377248052,,
135,AGPs,relu,0.21635777674163154,adaptive,1,5,adam,,,,0.15185091119132335,0.18385853461622095,,
136,AGPs,relu,0.29543492420026396,constant,3,2,adam,30.0,4.0,,0.15156091035389052,0.19488117928989476,,
137,AGPs,relu,0.4859836465026269,constant,4,3,adam,2.0,3.0,3.0,0.7505485013173462,0.0,,
138,AGPs,logistic,0.4961108176548336,constant,4,2,adam,2.0,6.0,2.0,0.24945149868265376,3.0031532816110485e-15,,
139,AGPs,tanh,0.13274279852429158,adaptive,1,14,adam,,,,0.15209959008737214,0.18211089710762535,,
140,AGPs,relu,0.42991431322034596,constant,4,3,adam,2.0,7.0,7.0,0.15309411671236758,0.18805115879249415,,
141,AGPs,relu,0.49665720526361656,constant,4,9,adam,7.0,3.0,2.0,0.15143649789890254,0.19407482962012218,,
142,AGPs,relu,0.46714497760169343,adaptive,3,2,adam,2.0,5.0,,0.1558709666336704,0.2024239633124342,,
143,AGPs,relu,0.00010562747273554461,constant,1,30,sgd,,,,0.16519585406337436,0.21829286880908425,,
144,AGPs,relu,0.48911815366864264,constant,4,2,sgd,3.0,7.0,2.0,0.24472689168558048,0.010387757540869475,,
145,AGPs,relu,0.18016860231444465,constant,3,32,adam,7.0,19.0,,0.14708481906082985,0.18702280881418507,,
146,AGPs,logistic,0.4609201561229947,constant,4,26,sgd,3.0,4.0,4.0,0.24945149868265376,3.0031532816110485e-15,,
147,AGPs,logistic,0.20052842475384253,constant,4,2,sgd,2.0,2.0,5.0,0.24945149868265376,3.0031532816110485e-15,,
148,AGPs,tanh,5.183937569879066e-05,adaptive,4,31,adam,2.0,5.0,32.0,0.15135364787882563,0.1913626200718988,,
149,AGPs,relu,0.48940420157053327,constant,4,31,sgd,6.0,26.0,5.0,0.24945149868265376,3.0031532816110485e-15,,
150,AGPs,logistic,0.000562905070099176,adaptive,3,2,sgd,31.0,31.0,,0.24945149868265376,3.0031532816110485e-15,,
151,AGPs,logistic,0.3900264279582838,adaptive,4,6,sgd,32.0,31.0,2.0,0.24945149868265376,3.0031532816110485e-15,,
152,AGPs,logistic,0.44027301259907936,constant,4,32,adam,28.0,8.0,32.0,0.24945149868265376,3.0031532816110485e-15,,
153,AGPs,logistic,0.0006387067855472595,adaptive,4,20,adam,32.0,32.0,32.0,0.15363296822694,0.19801919383743288,,
154,AGPs,relu,0.45091900391138406,adaptive,4,24,sgd,31.0,31.0,2.0,0.24945149868265376,3.0031532816110485e-15,,
155,AGPs,logistic,0.301219668647197,constant,4,4,sgd,31.0,25.0,32.0,0.24945149868265376,3.0031532816110485e-15,,
156,AGPs,logistic,1.117144318271639e-05,constant,4,2,sgd,32.0,3.0,21.0,0.24945149868265376,3.0031532816110485e-15,,
157,AGPs,relu,0.4786390949551526,constant,4,32,sgd,2.0,2.0,31.0,0.24945149868265376,3.0031532816110485e-15,,
158,AGPs,logistic,0.49144699682903437,adaptive,3,32,adam,3.0,32.0,,0.24945149868265376,3.0031532816110485e-15,,
159,AGPs,logistic,0.00019150987730282525,constant,4,32,adam,3.0,31.0,2.0,0.24945149868265376,3.0031532816110485e-15,,
160,AGPs,relu,0.0001269120050054769,adaptive,4,2,sgd,17.0,4.0,31.0,0.24945149868265376,3.0031532816110485e-15,,
161,AGPs,tanh,1.3210857503292644e-05,adaptive,4,7,adam,17.0,21.0,2.0,0.15293483542365532,0.18783551515518243,,
162,AGPs,tanh,1.3210857503292644e-05,adaptive,4,7,adam,17.0,21.0,2.0,0.15293483542365532,0.18783551515518243,,
163,AGPs,tanh,0.00013637271298456904,constant,4,5,adam,23.0,28.0,4.0,0.15757636049617912,0.20324956392790927,,
164,AGPs,tanh,0.00013637271298456904,constant,4,5,adam,23.0,28.0,4.0,0.15757636049617912,0.20324956392790927,,
165,AGPs,tanh,1.795274758208232e-05,constant,2,6,adam,9.0,,,0.15616797900262466,0.18298019005166696,,
166,AGPs,tanh,1.795274758208232e-05,constant,2,6,adam,9.0,,,0.15616797900262466,0.18298019005166696,,
167,AGPs,tanh,0.00018047513584181114,constant,2,3,sgd,5.0,,,0.2380647872668705,0.040313760860196404,,
168,AGPs,tanh,0.00018047513584181114,constant,2,3,sgd,5.0,,,0.2380647872668705,0.040313760860196404,,
169,AGPs,tanh,0.4585749220502681,adaptive,4,13,sgd,18.0,4.0,16.0,0.1728274637312127,0.16945460253321548,,
170,AGPs,tanh,0.4585749220502681,adaptive,4,13,sgd,18.0,4.0,16.0,0.1728274637312127,0.16945460253321548,,
171,AGPs,tanh,0.07159826929425768,adaptive,2,32,adam,32.0,,,0.15359835715743703,0.18564818012005432,,
172,AGPs,tanh,0.07159826929425768,adaptive,2,32,adam,32.0,,,0.15359835715743703,0.18564818012005432,,
173,AGPs,tanh,4.2075156376182124e-05,adaptive,4,20,adam,9.0,16.0,3.0,0.15865444156479655,0.1801920146943694,,
174,AGPs,tanh,4.2075156376182124e-05,adaptive,4,20,adam,9.0,16.0,3.0,0.15865444156479655,0.1801920146943694,,
175,AGPs,tanh,0.0022837697369270634,adaptive,4,4,adam,25.0,27.0,2.0,0.17929271998894875,0.14986218096765452,,
176,AGPs,tanh,0.0022837697369270634,adaptive,4,4,adam,25.0,27.0,2.0,0.17929271998894875,0.14986218096765452,,
177,AGPs,tanh,1.4781036086262238e-05,adaptive,4,30,adam,23.0,27.0,5.0,0.15434428218075252,0.1687330483503918,,
178,AGPs,tanh,1.4781036086262238e-05,adaptive,4,30,adam,23.0,27.0,5.0,0.15434428218075252,0.1687330483503918,,
179,AGPs,tanh,0.0003683011357760125,adaptive,4,16,adam,11.0,15.0,4.0,0.15434431654409264,0.1863595571298903,,
180,AGPs,tanh,0.0003683011357760125,adaptive,4,16,adam,11.0,15.0,4.0,0.15434431654409264,0.1863595571298903,,
181,AGPs,tanh,1.9038979344499837e-05,adaptive,4,19,adam,15.0,14.0,12.0,0.15741096974033,0.18678202233363725,,
182,AGPs,tanh,1.9038979344499837e-05,adaptive,4,19,adam,15.0,14.0,12.0,0.15741096974033,0.18678202233363725,,
183,AGPs,relu,0.45699357426154696,constant,3,4,sgd,23.0,32.0,,0.24477842174677106,3.563815909046753e-15,,
184,AGPs,relu,0.45699357426154696,constant,3,4,sgd,23.0,32.0,,0.24477842174677106,3.563815909046753e-15,,
185,AGPs,relu,0.44228185944743303,adaptive,4,2,adam,2.0,24.0,32.0,0.18061907618971035,0.16323228574821141,,
186,AGPs,relu,0.44228185944743303,adaptive,4,2,adam,2.0,24.0,32.0,0.18061907618971035,0.16323228574821141,,
187,AGPs,tanh,0.03496082141590754,constant,4,3,adam,31.0,2.0,30.0,0.15666542271375544,0.18832566616272745,,
188,AGPs,tanh,0.03496082141590754,constant,4,3,adam,31.0,2.0,30.0,0.15666542271375544,0.18832566616272745,,
189,AGPs,logistic,0.34524897484240963,constant,4,31,sgd,9.0,27.0,21.0,0.24477842174677106,3.563815909046753e-15,,
190,AGPs,logistic,0.34524897484240963,constant,4,31,sgd,9.0,27.0,21.0,0.24477842174677106,3.563815909046753e-15,,
191,AGPs,relu,0.34362053093229433,constant,2,2,adam,30.0,,,0.24486130612306614,0.00012406947891135944,,
192,AGPs,relu,0.34362053093229433,constant,2,2,adam,30.0,,,0.24486130612306614,0.00012406947891135944,,
193,AGPs,relu,0.24380718914812233,constant,3,4,adam,25.0,5.0,,0.16105994409771834,0.17666030685833128,,
194,AGPs,relu,0.24380718914812233,constant,3,4,adam,25.0,5.0,,0.16105994409771834,0.17666030685833128,,
195,AGPs,relu,0.16437140462685448,adaptive,4,2,adam,30.0,2.0,3.0,0.1924710609131439,0.11439351657192516,,
196,AGPs,relu,0.16437140462685448,adaptive,4,2,adam,30.0,2.0,3.0,0.1924710609131439,0.11439351657192516,,
197,AGPs,relu,2.266471144549607e-05,constant,4,2,sgd,32.0,32.0,30.0,0.24477842174677106,3.563815909046753e-15,,
198,AGPs,relu,2.266471144549607e-05,constant,4,2,sgd,32.0,32.0,30.0,0.24477842174677106,3.563815909046753e-15,,
199,AGPs,tanh,0.42519812011479385,constant,4,22,adam,6.0,2.0,30.0,0.1528527414041823,0.1898294631606787,,
200,AGPs,tanh,0.42519812011479385,constant,4,22,adam,6.0,2.0,30.0,0.1528527414041823,0.1898294631606787,,
201,AGPs,logistic,0.0002586298645411767,constant,2,2,adam,32.0,,,0.24477842174677106,3.563815909046753e-15,,
202,AGPs,logistic,0.0002586298645411767,constant,2,2,adam,32.0,,,0.24477842174677106,3.563815909046753e-15,,
203,AGPs,tanh,0.24418016977993093,constant,4,5,sgd,31.0,2.0,9.0,0.16644687874345637,0.1929110023488571,,
204,AGPs,tanh,0.24418016977993093,constant,4,5,sgd,31.0,2.0,9.0,0.16644687874345637,0.1929110023488571,,
205,AGPs,logistic,0.4443778563391371,constant,4,3,adam,27.0,2.0,32.0,0.24477842174677106,3.563815909046753e-15,,
206,AGPs,logistic,0.4443778563391371,constant,4,3,adam,27.0,2.0,32.0,0.24477842174677106,3.563815909046753e-15,,
207,AGPs,relu,0.0011004177746478405,constant,4,31,sgd,30.0,2.0,31.0,0.24486130612306614,0.00025641025641282564,,
208,AGPs,relu,0.0011004177746478405,constant,4,31,sgd,30.0,2.0,31.0,0.24486130612306614,0.00025641025641282564,,
209,AGPs,tanh,0.23618376517938755,constant,4,2,sgd,5.0,3.0,32.0,0.24477842174677106,3.563815909046753e-15,,
210,AGPs,tanh,0.23618376517938755,constant,4,2,sgd,5.0,3.0,32.0,0.24477842174677106,3.563815909046753e-15,,
211,AGPs,logistic,0.4862706014950968,constant,3,32,sgd,27.0,17.0,,0.24477842174677106,3.563815909046753e-15,,
212,AGPs,logistic,0.4862706014950968,constant,3,32,sgd,27.0,17.0,,0.24477842174677106,3.563815909046753e-15,,
213,AGPs,logistic,0.2046366084074446,constant,4,3,adam,32.0,2.0,2.0,0.24477842174677106,3.563815909046753e-15,,
214,AGPs,logistic,0.2046366084074446,constant,4,3,adam,32.0,2.0,2.0,0.24477842174677106,3.563815909046753e-15,,
215,AGPs,tanh,0.08826355904110353,adaptive,4,2,adam,3.0,31.0,29.0,0.16022965707448392,0.1898243437554313,,
216,AGPs,tanh,0.08826355904110353,adaptive,4,2,adam,3.0,31.0,29.0,0.16022965707448392,0.1898243437554313,,
217,AGPs,logistic,0.25904474754230217,constant,4,28,adam,31.0,29.0,32.0,0.24477842174677106,3.563815909046753e-15,,
218,AGPs,logistic,0.25904474754230217,constant,4,28,adam,31.0,29.0,32.0,0.24477842174677106,3.563815909046753e-15,,
219,AGPs,relu,0.414282491712239,adaptive,4,29,sgd,32.0,3.0,18.0,0.24477842174677106,3.563815909046753e-15,,
220,AGPs,relu,0.414282491712239,adaptive,4,29,sgd,32.0,3.0,18.0,0.24477842174677106,3.563815909046753e-15,,
221,AGPs,tanh,0.0013393904570878207,constant,3,32,sgd,29.0,30.0,,0.17821707871747766,0.21714748202358541,,
222,AGPs,tanh,0.0013393904570878207,constant,3,32,sgd,29.0,30.0,,0.17821707871747766,0.21714748202358541,,
223,AGPs,tanh,0.1709536473768138,adaptive,3,30,sgd,2.0,31.0,,0.17175141009966052,0.23135801458753819,,
224,AGPs,tanh,0.1709536473768138,adaptive,3,30,sgd,2.0,31.0,,0.17175141009966052,0.23135801458753819,,
225,AGPs,tanh,0.47755696687539534,constant,4,3,sgd,23.0,28.0,26.0,0.17349280672201914,0.19370646100056677,,
226,AGPs,tanh,0.47755696687539534,constant,4,3,sgd,23.0,28.0,26.0,0.17349280672201914,0.19370646100056677,,
227,AGPs,relu,4.164074663924751e-05,constant,4,29,adam,2.0,26.0,28.0,0.15326651038219594,0.1926607408399203,,
